cecha,importance
num__median_income,0.4278481425770909
cat__ocean_proximity_INLAND,0.14880167911657663
num__longitude,0.11751069577666037
num__latitude,0.10610289321799941
num__housing_median_age,0.047928865703666335
num__population,0.03956048966386959
num__total_rooms,0.032695340070982994
num__total_bedrooms,0.028631953893750225
num__households,0.026108249857325794
cat__ocean_proximity_<1H OCEAN,0.013757679884564122
cat__ocean_proximity_NEAR OCEAN,0.007425951834115438
cat__ocean_proximity_NEAR BAY,0.0036280584033981916
