problem,param_name,param_value,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,best_test_rmse,best_test_r2,avg_train_acc,avg_test_acc,best_test_acc
regression,epochs,10,61327.8686,61023.2054,43664.3276,44075.1153,0.7173,0.7204,60668.2456,0.7182,,,
classification,epochs,10,,,,,,,,,0.6735,0.6715,0.6751
regression,epochs,30,58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
classification,epochs,30,,,,,,,,,0.6791,0.6798,0.6828
regression,epochs,50,57532.3945,57512.5288,39846.9463,40163.7146,0.7513,0.7516,56488.4074,0.7618,,,
classification,epochs,50,,,,,,,,,0.6799,0.6768,0.6797
regression,epochs,100,56304.6960,56754.4217,39227.6367,39837.9770,0.7618,0.7581,55828.7862,0.7674,,,
classification,epochs,100,,,,,,,,,0.6828,0.6813,0.6845
regression,epochs,200,54952.9869,55577.8056,37984.7812,38529.8608,0.7731,0.7681,54861.2840,0.7695,,,
classification,epochs,200,,,,,,,,,0.6854,0.6833,0.6930
regression,lr,0.01,57550.3309,57398.1472,39457.7914,39632.1542,0.7510,0.7527,55835.7414,0.7613,,,
classification,lr,0.01,,,,,,,,,0.6771,0.6761,0.6816
regression,lr,0.005,57602.3778,57206.4952,39645.0205,39659.6661,0.7506,0.7543,55883.1930,0.7609,,,
classification,lr,0.005,,,,,,,,,0.6805,0.6773,0.6833
regression,lr,0.001,58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
classification,lr,0.001,,,,,,,,,0.6791,0.6798,0.6828
regression,lr,0.0001,63781.3439,63399.5280,45411.8198,45714.5105,0.6943,0.6982,62557.7925,0.7003,,,
classification,lr,0.0001,,,,,,,,,0.6644,0.6632,0.6683
regression,hidden_layers,[],68952.1884,68875.2240,49909.5710,50323.7714,0.6427,0.6439,67896.0322,0.6470,,,
classification,hidden_layers,[],,,,,,,,,0.6584,0.6620,0.6668
regression,hidden_layers,[16],58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
classification,hidden_layers,[16],,,,,,,,,0.6791,0.6798,0.6828
regression,hidden_layers,"[16, 8]",56589.1419,56577.8085,39058.6283,39517.3200,0.7592,0.7595,54987.9891,0.7743,,,
classification,hidden_layers,"[16, 8]",,,,,,,,,0.6832,0.6794,0.6874
regression,hidden_layers,"[16, 8, 4]",56022.5035,55935.1739,38275.0841,38675.2277,0.7641,0.7651,54850.6751,0.7696,,,
classification,hidden_layers,"[16, 8, 4]",,,,,,,,,0.6811,0.6777,0.6806
regression,hidden_layers,"[16, 8, 4, 2]",55596.2025,55645.7809,37924.8982,38367.7973,0.7677,0.7675,54790.3516,0.7759,,,
classification,hidden_layers,"[16, 8, 4, 2]",,,,,,,,,0.6758,0.6733,0.6838
regression,hidden_layers,"[32, 16]",54393.7031,54675.2463,37114.9518,37709.2846,0.7777,0.7756,54067.6002,0.7818,,,
classification,hidden_layers,"[32, 16]",,,,,,,,,0.6866,0.6854,0.6911
regression,hidden_layers,"[32, 32]",54465.1926,54614.4540,37121.1681,37566.1876,0.7770,0.7760,53766.5297,0.7786,,,
classification,hidden_layers,"[32, 32]",,,,,,,,,0.6884,0.6871,0.6935
regression,hidden_layers,"[64, 32]",52961.0160,53665.4346,36158.4814,36869.6048,0.7892,0.7838,52825.1806,0.7863,,,
classification,hidden_layers,"[64, 32]",,,,,,,,,0.6900,0.6861,0.6932
regression,neurons,[4],63800.9736,63044.4205,45104.7717,45105.7887,0.6939,0.7012,60424.3206,0.7275,,,
classification,neurons,[4],,,,,,,,,0.6638,0.6637,0.6700
regression,neurons,[8],60470.6666,60319.8590,42310.8252,42509.7909,0.7252,0.7267,59004.6642,0.7401,,,
classification,neurons,[8],,,,,,,,,0.6720,0.6720,0.6753
regression,neurons,[16],58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
