krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
1,test_ratio,0.1,54512.8053,55426.5875,38098.5007,39239.8504,0.7763,0.7724,0.0039,54724.6755,0.7704,42
1,test_ratio,0.15,54178.1369,54361.0336,37098.0710,37748.5525,0.7795,0.7779,0.0016,53494.7036,0.7778,42
1,test_ratio,0.2,54478.9073,55568.4824,37805.2197,38830.1683,0.7769,0.7681,0.0088,54173.0980,0.7810,43
1,test_ratio,0.3,54625.0987,55421.6850,37482.2354,38390.0207,0.7755,0.7699,0.0056,55273.4169,0.7701,44
1,test_ratio,0.4,55518.3556,56628.7831,37788.0970,38844.0803,0.7672,0.7607,0.0065,55420.8621,0.7695,44
2,depth,[],69046.5794,68877.2919,50060.1204,50527.3326,0.6418,0.6434,-0.0016,67205.7069,0.6493,42
2,depth,[16],55998.7961,55825.7383,38497.1240,38845.0670,0.7644,0.7657,-0.0013,55445.9724,0.7613,42
2,depth,"[16, 16]",52655.3715,53031.5433,35903.1580,36451.9731,0.7917,0.7886,0.0031,52004.5995,0.7900,42
2,depth,"[16, 16, 16]",51461.1981,52513.9947,35205.4181,36202.8596,0.8010,0.7927,0.0083,51595.8579,0.7933,42
2,depth,"[16, 16, 16, 16]",50824.5175,52168.8951,34641.1265,35875.9260,0.8059,0.7954,0.0105,51236.8229,0.7962,42
3,topology,"[8, 4, 4, 2]",76718.9184,76621.3514,57161.1976,57548.5075,0.5013,0.5040,-0.0027,56368.2879,0.7533,42
3,topology,"[16, 8, 4, 2]",52779.5986,53684.1773,35628.1265,36539.6803,0.7907,0.7834,0.0073,52430.8058,0.7866,42
3,topology,"[32, 16, 8, 4]",50008.4099,51922.6893,33918.5482,35668.7803,0.8121,0.7974,0.0147,51140.6967,0.7969,42
3,topology,"[64, 32, 16, 8]",47788.0256,51787.9435,32442.2884,35104.9420,0.8284,0.7984,0.0300,51033.6464,0.7978,42
3,topology,"[32, 32, 32, 32]",48375.9322,51682.4609,32888.7110,35180.5173,0.8242,0.7992,0.0249,50724.2476,0.8002,42
4,activation,relu,48375.9322,51682.4609,32888.7110,35180.5173,0.8242,0.7992,0.0249,50724.2476,0.8002,42
4,activation,leaky_relu,47822.1672,51219.4521,32352.1467,34716.0549,0.8282,0.8028,0.0254,50305.4887,0.8035,42
4,activation,tanh,49221.0740,50906.5305,33173.9745,34616.3980,0.8180,0.8052,0.0127,49672.2356,0.8084,42
4,activation,sigmoid,59534.0122,58378.5810,41423.0144,41491.5952,0.7337,0.7438,-0.0101,57453.2879,0.7437,42
5,weight_init_scale,0.01,115418.2851,115439.6335,91416.3343,91707.9390,-0.0008,-0.0016,0.0008,113736.1912,-0.0043,42
5,weight_init_scale,0.1,56776.6928,55967.4213,39036.0230,39098.7242,0.7578,0.7645,-0.0067,55056.9996,0.7749,43
5,weight_init_scale,1.0,49221.0740,50906.5305,33173.9745,34616.3980,0.8180,0.8052,0.0127,49672.2356,0.8084,42
5,weight_init_scale,2.0,46981.7248,52262.5321,32101.0340,35548.1287,0.8342,0.7947,0.0395,51673.3729,0.7927,42
5,weight_init_scale,5.0,52829.0025,63793.6963,37984.8825,45662.6889,0.7903,0.6938,0.0965,61521.0118,0.7189,43
6,lr,0.01,44950.7666,51748.2429,30491.2864,34535.7641,0.8482,0.7987,0.0495,51190.2581,0.7966,42
6,lr,0.005,45918.5931,51007.8798,31315.1143,34519.4616,0.8415,0.8043,0.0372,50493.8620,0.8122,44
6,lr,0.001,49221.0740,50906.5305,33173.9745,34616.3980,0.8180,0.8052,0.0127,49672.2356,0.8084,42
6,lr,0.0005,50940.2196,51526.8505,34383.1968,35196.6370,0.8050,0.8004,0.0046,50600.1464,0.8012,42
6,lr,0.0001,56166.8957,55475.3237,38484.2425,38808.8206,0.7630,0.7687,-0.0057,54786.7419,0.7670,42
7,epochs,10,57275.6308,56457.8481,39283.4287,39489.4557,0.7535,0.7604,-0.0069,55669.3321,0.7594,42
7,epochs,30,53974.3477,53802.1732,37048.7521,37556.8798,0.7811,0.7825,-0.0014,52272.3912,0.7879,42
7,epochs,50,52317.6634,52720.6511,35420.6056,36217.9662,0.7944,0.7910,0.0033,52582.7884,0.7853,42
7,epochs,100,49221.0740,50906.5305,33173.9745,34616.3980,0.8180,0.8052,0.0127,49672.2356,0.8084,42
7,epochs,200,46208.4040,50458.3360,30861.1254,33886.8755,0.8396,0.8086,0.0310,49652.3345,0.8086,42
8,repeats,1,48871.6126,49672.2356,33508.3229,34641.2835,0.8216,0.8084,0.0131,49672.2356,0.8084,42
8,repeats,3,49221.0740,50906.5305,33173.9745,34616.3980,0.8180,0.8052,0.0127,49672.2356,0.8084,42
8,repeats,5,49400.7512,50715.6337,33349.2602,34480.3525,0.8168,0.8054,0.0114,49195.3493,0.8126,46
8,repeats,10,49438.3605,51486.7258,33368.8499,34729.1899,0.8162,0.8014,0.0148,49195.3493,0.8126,46
