model,parametr,wartosc,clf_accuracy_mean,clf_accuracy_std,clf_balanced_accuracy_mean,clf_balanced_accuracy_std,clf_f1_macro_mean,clf_f1_macro_std,reg_r2_mean,reg_r2_std,reg_mae_mean,reg_mae_std,reg_rmse_mean,reg_rmse_std
GradientBoosting,n_estimators,50,0.6681,0.0061,0.4804,0.0055,0.4655,0.0069,0.7207,0.0126,43226.27,746.37,60952.45,1554.87
GradientBoosting,n_estimators,100,0.675,0.0061,0.4881,0.0057,0.4764,0.007,0.7706,0.0113,38417.48,703.68,55236.87,1592.02
GradientBoosting,n_estimators,200,0.6776,0.005,0.4937,0.0066,0.4865,0.0081,0.8017,0.01,35187.75,650.71,51362.18,1562.29
GradientBoosting,n_estimators,300,0.6781,0.0042,0.498,0.0054,0.4943,0.0072,0.8127,0.009,33926.84,529.16,49912.06,1471.2
GradientBoosting,learning_rate,0.01,0.6407,0.0038,0.4316,0.0023,0.4087,0.0045,0.5157,0.0085,61273.43,685.92,80282.69,1082.71
GradientBoosting,learning_rate,0.05,0.6684,0.0064,0.4805,0.0056,0.4654,0.0071,0.7182,0.0119,43402.98,809.5,61226.5,1519.16
GradientBoosting,learning_rate,0.1,0.675,0.0061,0.4881,0.0057,0.4764,0.007,0.7706,0.0113,38417.48,703.68,55236.87,1592.02
GradientBoosting,learning_rate,0.2,0.6779,0.0045,0.4942,0.0055,0.4881,0.0075,0.8009,0.0094,35335.45,598.1,51464.76,1460.91
GradientBoosting,max_depth,2,0.6662,0.0066,0.4802,0.0068,0.465,0.0085,0.7282,0.0129,42447.98,891.46,60135.58,1671.11
GradientBoosting,max_depth,3,0.675,0.0061,0.4881,0.0057,0.4764,0.007,0.7706,0.0113,38417.48,703.68,55236.87,1592.02
GradientBoosting,max_depth,4,0.6792,0.005,0.4961,0.0059,0.4898,0.0076,0.8021,0.0097,35076.17,668.72,51315.89,1504.58
GradientBoosting,max_depth,5,0.6797,0.0054,0.4998,0.0075,0.497,0.0098,0.8159,0.0092,33359.87,711.54,49490.64,1495.17
GradientBoosting,subsample,0.6,0.6749,0.0056,0.4895,0.0052,0.4794,0.0064,0.7722,0.0122,38352.62,772.33,55046.67,1673.39
GradientBoosting,subsample,0.8,0.6753,0.0055,0.489,0.0051,0.4781,0.0066,0.7708,0.0118,38373.77,768.33,55213.74,1653.46
GradientBoosting,subsample,0.9,0.6752,0.0057,0.4889,0.0062,0.4777,0.0077,0.7702,0.012,38507.19,738.64,55288.61,1656.96
GradientBoosting,subsample,1.0,0.675,0.0061,0.4881,0.0057,0.4764,0.007,0.7706,0.0113,38417.48,703.68,55236.87,1592.02
