parametr,wartosc,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,params_snapshot
n_estimators,50,0.7249,0.0071,43104.17,838.69,60566.15,1328.06,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
n_estimators,100,0.7744,0.0074,38297.35,899.91,54845.1,1386.19,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
n_estimators,200,0.802,0.0074,35342.45,880.27,51379.31,1441.1,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
n_estimators,300,0.8117,0.0063,34255.91,685.06,50108.13,1288.36,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
learning_rate,0.01,0.6702,0.0079,48240.39,784.8,66311.32,1349.14,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
learning_rate,0.05,0.7924,0.0072,36352.92,800.06,52614.34,1383.42,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
learning_rate,0.1,0.8117,0.0063,34255.91,685.06,50108.13,1288.36,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
learning_rate,0.2,0.8202,0.0075,33163.56,757.84,48951.95,1448.55,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
max_depth,2,0.7974,0.0069,35946.01,698.83,51969.0,1380.97,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 2, 'subsample': 1.0, 'random_state': 42}"
max_depth,3,0.8202,0.0075,33163.56,757.84,48951.95,1448.55,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 3, 'subsample': 1.0, 'random_state': 42}"
max_depth,4,0.8277,0.0062,32031.92,655.16,47929.45,1320.05,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 4, 'subsample': 1.0, 'random_state': 42}"
max_depth,5,0.8285,0.0068,31670.16,646.4,47816.49,1252.89,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 5, 'subsample': 1.0, 'random_state': 42}"
subsample,0.6,0.8209,0.0051,32510.64,497.29,48867.25,1122.22,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.6, 'random_state': 42}"
subsample,0.8,0.8269,0.0073,31951.81,708.18,48033.36,1382.33,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.8, 'random_state': 42}"
subsample,0.9,0.828,0.0069,31867.61,660.13,47878.51,1242.79,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.9, 'random_state': 42}"
subsample,1.0,0.8285,0.0068,31670.16,646.4,47816.49,1252.89,"{'n_estimators': 300, 'learning_rate': 0.2, 'max_depth': 5, 'subsample': 1.0, 'random_state': 42}"
