model,parametr,wartosc,clf_accuracy_mean,clf_accuracy_std,clf_balanced_accuracy_mean,clf_balanced_accuracy_std,clf_f1_macro_mean,clf_f1_macro_std,reg_r2_mean,reg_r2_std,reg_mae_mean,reg_mae_std,reg_rmse_mean,reg_rmse_std
KNN,n_neighbors,1,0.5791,0.0052,0.4762,0.0048,0.4761,0.0048,0.5852,0.0137,48310.63,906.17,74295.21,1468.93
KNN,n_neighbors,3,0.6355,0.007,0.481,0.0065,0.4873,0.0072,0.6992,0.0119,42085.78,918.87,63272.21,1706.92
KNN,n_neighbors,5,0.6495,0.0046,0.4831,0.0057,0.4853,0.0065,0.7194,0.012,40950.42,916.46,61105.9,1686.9
KNN,n_neighbors,10,0.6658,0.0013,0.4918,0.0039,0.4932,0.0054,0.7307,0.012,40405.72,797.85,59856.84,1616.83
KNN,n_neighbors,20,0.6698,0.0055,0.4873,0.0077,0.4822,0.0095,0.7262,0.0104,41022.85,804.71,60354.6,1458.51
KNN,n_neighbors,50,0.6663,0.0041,0.4762,0.004,0.4615,0.0044,0.7086,0.0094,42933.98,851.65,62272.04,1346.61
KNN,weights,uniform,0.6495,0.0046,0.4831,0.0057,0.4853,0.0065,0.7194,0.012,40950.42,916.46,61105.9,1686.9
KNN,weights,distance,0.6409,0.0067,0.4972,0.01,0.5018,0.012,0.723,0.0119,40506.55,959.91,60707.95,1696.87
KNN,metric,euclidean,0.6495,0.0046,0.4831,0.0057,0.4853,0.0065,0.7194,0.012,40950.42,916.46,61105.9,1686.9
KNN,metric,manhattan,0.6523,0.0052,0.4856,0.005,0.4872,0.0061,0.735,0.0088,39883.54,775.25,59388.63,1302.68
KNN,metric,chebyshev,0.6528,0.004,0.4868,0.0047,0.4899,0.0053,0.7036,0.0124,42245.86,853.31,62795.87,1646.12
KNN,metric,minkowski,0.6495,0.0046,0.4831,0.0057,0.4853,0.0065,0.7194,0.012,40950.42,916.46,61105.9,1686.9
