model,parametr,wartosc,clf_accuracy_mean,clf_accuracy_std,clf_balanced_accuracy_mean,clf_balanced_accuracy_std,clf_f1_macro_mean,clf_f1_macro_std,reg_r2_mean,reg_r2_std,reg_mae_mean,reg_mae_std,reg_rmse_mean,reg_rmse_std
RandomForest,n_estimators,50,0.6778,0.0036,0.5012,0.004,0.5022,0.0056,0.8223,0.0068,31606.94,584.37,48621.39,1237.5
RandomForest,n_estimators,100,0.681,0.0037,0.5032,0.0039,0.5044,0.0055,0.8239,0.0078,31402.3,630.78,48406.6,1386.05
RandomForest,n_estimators,200,0.6815,0.0039,0.5029,0.0051,0.5037,0.0073,0.8243,0.0076,31345.26,635.76,48354.46,1357.62
RandomForest,n_estimators,300,0.6811,0.0038,0.5028,0.0045,0.5035,0.0061,0.8247,0.0079,31308.49,654.03,48296.04,1395.77
RandomForest,n_estimators,500,0.6821,0.0039,0.5037,0.0052,0.5045,0.0069,0.8248,0.0079,31297.65,633.42,48277.18,1387.15
RandomForest,max_depth,5,0.6467,0.0051,0.4402,0.0044,0.4161,0.0069,0.6553,0.0126,48269.18,729.67,67727.53,1532.51
RandomForest,max_depth,10,0.6714,0.0051,0.4757,0.0044,0.4597,0.0061,0.7895,0.0096,35888.42,808.6,52926.9,1478.49
RandomForest,max_depth,15,0.68,0.0025,0.4902,0.0015,0.4827,0.0031,0.8195,0.0077,32072.06,628.89,49001.52,1351.3
RandomForest,max_depth,25,0.6815,0.0022,0.5036,0.0046,0.5055,0.006,0.8239,0.0077,31429.73,631.44,48407.04,1375.58
RandomForest,max_depth,None,0.681,0.0037,0.5032,0.0039,0.5044,0.0055,0.8239,0.0078,31402.3,630.78,48406.6,1386.05
RandomForest,min_samples_split,2,0.681,0.0037,0.5032,0.0039,0.5044,0.0055,0.8239,0.0078,31402.3,630.78,48406.6,1386.05
RandomForest,min_samples_split,5,0.6801,0.0043,0.5006,0.0048,0.5003,0.0072,0.8242,0.0079,31437.42,635.33,48366.97,1392.66
RandomForest,min_samples_split,10,0.6813,0.0012,0.497,0.003,0.4942,0.0051,0.8218,0.0084,31742.84,659.47,48693.84,1433.47
RandomForest,min_samples_split,20,0.6805,0.0038,0.4914,0.004,0.4844,0.0055,0.8157,0.009,32525.82,685.32,49521.42,1490.56
RandomForest,min_samples_split,50,0.674,0.0033,0.48,0.003,0.4651,0.0045,0.7975,0.0088,34623.55,682.71,51901.27,1417.3
RandomForest,max_features,0.3,0.681,0.0037,0.5032,0.0039,0.5044,0.0055,0.8187,0.0087,32836.55,630.99,49112.95,1440.05
RandomForest,max_features,0.5,0.6781,0.0018,0.5039,0.0044,0.5057,0.0058,0.8262,0.0076,31613.48,578.73,48081.86,1315.43
RandomForest,max_features,0.7,0.6775,0.0025,0.5065,0.003,0.5101,0.0043,0.825,0.008,31551.78,676.73,48259.9,1405.58
RandomForest,max_features,0.9,0.6734,0.0033,0.5061,0.0015,0.5103,0.0022,0.8261,0.0082,31352.83,645.59,48101.34,1437.33
RandomForest,max_features,1.0,0.6711,0.0038,0.5055,0.0023,0.51,0.0024,0.8239,0.0078,31402.3,630.78,48406.6,1386.05
