parametr,wartosc,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,params_snapshot
n_estimators,50,0.8146,0.0104,32456.99,774.2,49708.29,1772.16,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
n_estimators,100,0.8169,0.0094,32255.4,693.02,49403.94,1661.21,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
n_estimators,200,0.8175,0.0091,32168.62,679.66,49316.27,1617.75,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
n_estimators,300,0.8175,0.0093,32175.02,692.38,49324.17,1644.01,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
n_estimators,500,0.8178,0.0093,32154.39,694.91,49273.59,1626.34,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
max_depth,5,0.659,0.0094,48030.36,770.95,67423.09,1500.58,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 1.0}"
max_depth,10,0.7849,0.0105,36379.38,783.49,53543.29,1706.47,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 1.0}"
max_depth,15,0.8138,0.0096,32746.98,684.38,49808.76,1658.84,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 2, 'max_features': 1.0}"
max_depth,25,0.8178,0.0095,32158.81,703.11,49275.84,1649.03,"{'n_estimators': 500, 'max_depth': 25, 'min_samples_split': 2, 'max_features': 1.0}"
max_depth,None,0.8178,0.0093,32154.39,694.91,49273.59,1626.34,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
min_samples_split,2,0.8178,0.0093,32154.39,694.91,49273.59,1626.34,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
min_samples_split,5,0.8173,0.0094,32224.29,708.87,49341.2,1641.83,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'max_features': 1.0}"
min_samples_split,10,0.8148,0.0097,32560.72,735.66,49678.78,1679.53,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 10, 'max_features': 1.0}"
min_samples_split,20,0.8088,0.0098,33327.85,762.3,50483.55,1661.6,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 20, 'max_features': 1.0}"
min_samples_split,50,0.7897,0.0106,35529.69,849.55,52938.45,1708.13,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 50, 'max_features': 1.0}"
max_features,0.3,0.8153,0.0085,33287.62,624.24,49611.76,1511.35,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.3}"
max_features,0.5,0.8216,0.0087,32126.51,688.65,48757.37,1570.09,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}"
max_features,0.7,0.8207,0.0089,32066.37,689.83,48885.37,1581.69,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.7}"
max_features,0.9,0.8194,0.009,32082.88,669.62,49060.19,1587.02,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.9}"
max_features,1.0,0.8178,0.0093,32154.39,694.91,49273.59,1626.34,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 1.0}"
