model,parametr,wartosc,clf_accuracy_mean,clf_accuracy_std,clf_balanced_accuracy_mean,clf_balanced_accuracy_std,clf_f1_macro_mean,clf_f1_macro_std,reg_r2_mean,reg_r2_std,reg_mae_mean,reg_mae_std,reg_rmse_mean,reg_rmse_std
SVM,C,0.1,0.6656,0.0021,0.4511,0.002,0.4189,0.0032,-0.0546,0.0026,88294.11,800.57,118470.7,919.93
SVM,C,1,0.6803,0.0035,0.4807,0.0049,0.4608,0.0059,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,C,10,0.6836,0.0033,0.4919,0.0038,0.4753,0.0047,0.0072,0.0024,84819.51,805.16,114946.44,922.85
SVM,C,100,0.6863,0.0025,0.5016,0.004,0.4958,0.007,0.3312,0.0043,65615.82,807.04,94349.82,1002.28
SVM,kernel,linear,0.6528,0.0038,0.4266,0.0027,0.374,0.0023,0.0685,0.0032,82189.0,762.16,111345.29,840.82
SVM,kernel,rbf,0.6803,0.0035,0.4807,0.0049,0.4608,0.0059,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,kernel,poly,0.6407,0.002,0.4442,0.0033,0.4316,0.0039,-0.0417,0.0018,87745.25,790.7,117748.14,873.76
SVM,kernel,sigmoid,0.533,0.0133,0.3717,0.0105,0.3547,0.0122,-0.0422,0.0027,87699.59,797.08,117775.9,908.84
SVM,gamma,scale,0.6803,0.0035,0.4807,0.0049,0.4608,0.0059,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,gamma,auto,0.6803,0.0035,0.4807,0.0049,0.4608,0.0059,-0.0486,0.0027,87973.78,800.71,118132.9,921.38
SVM,gamma,0.01,0.6578,0.0036,0.4299,0.0024,0.3771,0.0022,-0.053,0.0026,88221.23,800.23,118381.15,924.31
SVM,gamma,0.1,0.6776,0.0037,0.4726,0.0031,0.4502,0.0033,-0.0486,0.0026,87967.1,801.01,118132.48,922.59
SVM,epsilon,0.01,-,-,-,-,-,-,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,epsilon,0.1,-,-,-,-,-,-,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,epsilon,0.5,-,-,-,-,-,-,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
SVM,epsilon,1.0,-,-,-,-,-,-,-0.0486,0.0027,87966.35,801.12,118137.16,922.26
