parametr,wartosc,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,params_snapshot
C,0.1,-0.0561,0.0095,88397.06,1285.6,118662.55,1648.8,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}"
C,1,-0.0512,0.0095,88136.58,1283.79,118384.64,1647.08,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}"
C,10,-0.0064,0.0093,85615.72,1276.41,115835.31,1634.41,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}"
C,100,0.287,0.0104,68538.28,1183.14,97498.62,1655.28,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}"
kernel,linear,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.1}"
kernel,rbf,0.287,0.0104,68538.28,1183.14,97498.62,1655.28,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}"
kernel,poly,0.177,0.1034,74036.16,1217.51,104542.21,6113.51,"{'C': 100, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 0.1}"
kernel,sigmoid,0.4511,0.009,60172.92,1077.7,85546.09,1451.41,"{'C': 100, 'kernel': 'sigmoid', 'gamma': 'scale', 'epsilon': 0.1}"
gamma,scale,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.1}"
gamma,auto,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 0.1}"
gamma,0.01,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 0.01, 'epsilon': 0.1}"
gamma,0.1,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 0.1, 'epsilon': 0.1}"
epsilon,0.01,0.6166,0.0103,49239.18,774.84,71493.04,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.01}"
epsilon,0.1,0.6166,0.0103,49239.18,774.84,71493.06,1488.15,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.1}"
epsilon,0.5,0.6166,0.0103,49239.15,774.87,71493.09,1488.16,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.5}"
epsilon,1.0,0.6166,0.0103,49239.15,774.88,71493.18,1488.2,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 1.0}"
